LAMMPS data file via POLY

8140 atoms
1 atom types

0.00000000 100.00000000 xlo xhi
0.00000000 50.00000000 ylo yhi
0.00000000 30.00000000 zlo zhi

Masses

  1 30.973762


Atoms

  453 1 31.36774848 9.25874872 29.03960514
  454 1 29.80496526 7.69518033 2.23672260
  455 1 29.80496526 7.69518033 4.78937808
  456 1 29.80496526 7.69518033 7.34203356
  457 1 29.80496526 7.69518033 9.89468904
  458 1 29.80496526 7.69518033 12.44734452
  459 1 29.80496526 7.69518033 15.00000000
  460 1 29.80496526 7.69518033 17.55265548
  461 1 29.80496526 7.69518033 20.10531096
  462 1 29.80496526 7.69518033 22.65796644
  463 1 29.80496526 7.69518033 25.21062192
  464 1 29.80496526 7.69518033 27.76327740
  465 1 28.24218204 6.13161194 0.96039486
  466 1 28.24218204 6.13161194 3.51305034
  467 1 28.24218204 6.13161194 6.06570582
  468 1 28.24218204 6.13161194 8.61836130
  469 1 28.24218204 6.13161194 11.17101678
  470 1 28.24218204 6.13161194 13.72367226
  471 1 28.24218204 6.13161194 16.27632774
  472 1 28.24218204 6.13161194 18.82898322
  473 1 28.24218204 6.13161194 21.38163870
  474 1 28.24218204 6.13161194 23.93429418
  475 1 28.24218204 6.13161194 26.48694966
  476 1 28.24218204 6.13161194 29.03960514
  477 1 26.67939883 4.56804354 2.23672260
  478 1 26.67939883 4.56804354 4.78937808
  479 1 26.67939883 4.56804354 7.34203356
  480 1 26.67939883 4.56804354 9.89468904
  481 1 26.67939883 4.56804354 12.44734452
  482 1 26.67939883 4.56804354 15.00000000
  483 1 26.67939883 4.56804354 17.55265548
  484 1 26.67939883 4.56804354 20.10531096
  485 1 26.67939883 4.56804354 22.65796644
  486 1 26.67939883 4.56804354 25.21062192
  487 1 26.67939883 4.56804354 27.76327740
  488 1 25.11661561 3.00447515 0.96039486
  489 1 25.11661561 3.00447515 3.51305034
  490 1 25.11661561 3.00447515 6.06570582
  491 1 25.11661561 3.00447515 8.61836130
  492 1 25.11661561 3.00447515 11.17101678
  493 1 25.11661561 3.00447515 13.72367226
  494 1 25.11661561 3.00447515 16.27632774
  495 1 25.11661561 3.00447515 18.82898322
  496 1 25.11661561 3.00447515 21.38163870
  497 1 25.11661561 3.00447515 23.93429418
  498 1 25.11661561 3.00447515 26.48694966
  499 1 25.11661561 3.00447515 29.03960514
  500 1 49.68885614 30.53735450 0.96039486
  501 1 49.68885614 30.53735450 3.51305034
  502 1 49.68885614 30.53735450 6.06570582
  503 1 49.68885614 30.53735450 8.61836130
  504 1 49.68885614 30.53735450 11.17101678
  505 1 49.68885614 30.53735450 13.72367226
  506 1 49.68885614 30.53735450 16.27632774
  507 1 49.68885614 30.53735450 18.82898322
  508 1 49.68885614 30.53735450 21.38163870
  509 1 48.12607293 28.97378611 2.23672260
  510 1 48.12607293 28.97378611 4.78937808
  511 1 48.12607293 28.97378611 7.34203356
  512 1 48.12607293 28.97378611 9.89468904
  513 1 48.12607293 28.97378611 12.44734452
  514 1 48.12607293 28.97378611 15.00000000
  515 1 48.12607293 28.97378611 17.55265548
  516 1 48.12607293 28.97378611 20.10531096
  517 1 48.12607293 28.97378611 22.65796644
  518 1 46.56328971 27.41021772 0.96039486
  519 1 46.56328971 27.41021772 3.51305034
  520 1 46.56328971 27.41021772 6.06570582
  521 1 46.56328971 27.41021772 8.61836130
  522 1 46.56328971 27.41021772 11.17101678
  523 1 46.56328971 27.41021772 13.72367226
  524 1 46.56328971 27.41021772 16.27632774
  525 1 46.56328971 27.41021772 18.82898322
  526 1 46.56328971 27.41021772 21.38163870
  527 1 46.56328971 27.41021772 23.93429418
  528 1 45.00050649 25.84664932 2.23672260
  529 1 45.00050649 25.84664932 4.78937808
  530 1 45.00050649 25.84664932 7.34203356
  531 1 45.00050649 25.84664932 9.89468904
  532 1 45.00050649 25.84664932 12.44734452
  533 1 45.00050649 25.84664932 15.00000000
  534 1 45.00050649 25.84664932 17.55265548
  535 1 45.00050649 25.84664932 20.10531096
